Date,Israeli_Lines_MWs,Gaza_Power_Plant_MWs,Egyptian_Lines_MWs,Total_daily_Supply_available_in_MWs,Overall_demand_in_MWs,Power_Cuts_hours_day_400mg,Temp
5/28/2017,108,0,10,118,450,6,27
5/29/2017,120,0,18,138,450,7,25
5/30/2017,120,0,13,133,450,7,26
5/31/2017,120,0,0,120,450,6,25
6/1/2017,120,0,0,120,450,6,27
6/2/2017,120,0,0,120,450,6,26
6/3/2017,120,0,3,123,450,6,26
6/4/2017,120,0,0,120,450,6,27
6/5/2017,120,0,0,120,450,6,26
6/6/2017,120,0,0,120,450,6,27
6/7/2017,120,0,0,120,450,6,26
6/8/2017,120,0,0,120,450,6,25
6/9/2017,120,0,0,120,450,6,27
6/10/2017,120,0,23,143,450,7,28
6/11/2017,120,0,23,143,450,7,27
6/12/2017,120,0,23,143,450,7,27
6/13/2017,120,0,13,133,450,7,26
6/14/2017,120,0,0,120,450,6,27
6/15/2017,120,0,23,143,450,7,36
6/16/2017,120,0,23,143,450,7,38
6/17/2017,120,0,3,123,450,6,36
6/18/2017,120,0,0,120,450,6,31
6/19/2017,112,0,0,112,450,5,31
6/20/2017,100,0,0,100,450,5,33
6/21/2017,88,55,20,163,450,8,31
6/22/2017,72,55,20,147,450,7,30
6/23/2017,72,55,20,147,450,7,31
6/24/2017,72,55,20,147,450,7,31
6/25/2017,72,55,20,147,450,7,31
6/26/2017,72,55,20,147,450,7,30
6/27/2017,72,55,20,147,450,7,29
6/28/2017,72,55,20,147,450,7,30
6/29/2017,72,45,23,140,450,7,28
6/30/2017,72,45,23,140,450,7,30
7/1/2017,80,65,0,145,450,7,30
7/2/2017,80,65,0,145,450,7,31
7/3/2017,80,65,13,158,450,8,32
7/4/2017,72,65,13,150,450,8,31
7/5/2017,80,65,13,158,450,8,35
7/6/2017,70,65,0,135,450,7,37
7/7/2017,70,45,0,115,450,6,36
7/8/2017,70,23,0,93,450,4,35
7/9/2017,70,20,0,90,450,4,34
7/10/2017,70,42,0,112,450,5,35
7/11/2017,70,22,0,92,450,4,33
7/12/2017,70,18,0,88,450,4,31
7/13/2017,70,0,0,70,450,3,34
7/14/2017,70,70,3,143,450,7,35
7/15/2017,70,70,0,140,450,7,37
7/16/2017,70,70,0,140,450,7,33
7/17/2017,70,70,0,140,450,7,35
7/18/2017,70,68,0,138,450,7,36
7/19/2017,70,68,0,138,450,7,35
7/20/2017,70,24,0,94,450,5,35
7/21/2017,70,45,0,115,450,6,33
7/22/2017,70,65,0,135,450,7,35
7/23/2017,70,65,0,135,450,7,36
7/24/2017,70,65,0,135,450,7,35
7/25/2017,70,65,0,135,450,7,38
7/26/2017,70,65,0,135,450,7,36
